reads,avg_candidates,total_clusters,total_buckets,avg_bucket_size,max_bucket_size,worstKmer
10000,0,8210,40922,1.0,10,1152921504606846975
20000,0,16327,81347,1.0,19,1152921504606846975
30000,0,24417,121599,1.0,23,1152921504606846975
40000,0,32351,161106,1.0,29,1152921504606846975
50000,0,40232,200301,1.0,32,1152921504606846975
60000,0,48066,239259,1.0,38,1152921504606846975
70000,0,55827,277776,1.0,43,1152921504606846975
80000,0,63544,316084,1.0,47,1152921504606846975
90000,0,71190,354059,1.0,50,1152921504606846975
100000,0,78766,391609,1.0,60,1152921504606846975
110000,0,86393,429466,1.0,60,1152921504606846975
120000,0,93926,466834,1.0,67,1152921504606846975
130000,0,101373,503788,1.0,70,1152921504606846975
140000,0,108775,540453,1.0,74,1152921504606846975
150000,0,116273,577573,1.0,80,1152921504606846975
160000,0,123671,614249,1.0,82,1152921504606846975
170000,0,130973,650445,1.0,84,1152921504606846975
180000,0,138247,686417,1.0,88,1152921504606846975
190000,0,145561,722646,1.0,92,1152921504606846975
200000,0,152857,758771,1.0,95,1152921504606846975
210000,0,160051,794380,1.0,99,1152921504606846975
220000,0,167310,830292,1.0,99,1152921504606846975
230000,0,174461,865672,1.0,102,1152921504606846975
240000,0,181541,900687,1.0,105,1152921504606846975
250000,0,188686,936020,1.0,108,1152921504606846975
260000,0,195741,970868,1.0,112,1152921504606846975
270000,0,202826,1005951,1.0,115,1152921504606846975
280000,0,209839,1040583,1.0,122,1152921504606846975
290000,0,216860,1075198,1.0,125,1152921504606846975
300000,0,223913,1109976,1.0,129,1152921504606846975
310000,0,230799,1144014,1.0,132,1152921504606846975
320000,0,237731,1178259,1.0,134,1152921504606846975
330000,0,244664,1212538,1.0,138,1152921504606846975
340000,0,251708,1247307,1.0,143,1152921504606846975
350000,0,258655,1281561,1.0,149,1152921504606846975
360000,0,265530,1315477,1.0,152,1152921504606846975
370000,0,272438,1349506,1.0,156,1152921504606846975
380000,0,279188,1382829,1.0,160,1152921504606846975
390000,0,286021,1416540,1.0,165,1152921504606846975
400000,0,292823,1450117,1.0,171,1152921504606846975
410000,0,299551,1483299,1.0,172,1152921504606846975
420000,1,306365,1516889,1.0,178,1152921504606846975
430000,0,313178,1550451,1.0,184,1152921504606846975
440000,0,319955,1583827,1.0,187,1152921504606846975
450000,0,326722,1617218,1.0,190,1152921504606846975
460000,0,333559,1650916,1.0,193,1152921504606846975
470000,0,340248,1683821,1.0,200,1152921504606846975
480000,1,346936,1716794,1.0,207,1152921504606846975
490000,1,353591,1749582,1.0,210,1152921504606846975
500000,0,360286,1782497,1.0,214,1152921504606846975
510000,1,366929,1815192,1.0,218,1152921504606846975
520000,1,373650,1848282,1.0,221,1152921504606846975
530000,1,380347,1881208,1.0,224,1152921504606846975
540000,0,386926,1913588,1.0,228,1152921504606846975
550000,1,393509,1945993,1.0,233,1152921504606846975
560000,1,400087,1978296,1.0,238,1152921504606846975
570000,1,406688,2010829,1.0,240,1152921504606846975
580000,0,413237,2043037,1.0,241,1152921504606846975
590000,1,419787,2075244,1.0,244,1152921504606846975
600000,1,426387,2107723,1.0,244,1152921504606846975
610000,1,433050,2140539,1.0,247,1152921504606846975
620000,0,439722,2173360,1.0,250,1152921504606846975
630000,1,446362,2206009,1.0,254,1152921504606846975
640000,1,453035,2238873,1.0,257,1152921504606846975
650000,1,459668,2271449,1.0,259,1152921504606846975
